CASE_ID,ACCIDENT_YEAR,PROC_DATE,JURIS,COLLISION_DATE,COLLISION_TIME,OFFICER_ID,REPORTING_DISTRICT,DAY_OF_WEEK,CHP_SHIFT,POPULATION,CNTY_CITY_LOC,SPECIAL_COND,BEAT_TYPE,CHP_BEAT_TYPE,CITY_DIVISION_LAPD,CHP_BEAT_CLASS,BEAT_NUMBER,PRIMARY_RD,SECONDARY_RD,DISTANCE,DIRECTION,INTERSECTION,WEATHER_1,WEATHER_2,STATE_HWY_IND,CALTRANS_COUNTY,CALTRANS_DISTRICT,STATE_ROUTE,ROUTE_SUFFIX,POSTMILE_PREFIX,POSTMILE,LOCATION_TYPE,RAMP_INTERSECTION,SIDE_OF_HWY,TOW_AWAY,COLLISION_SEVERITY,NUMBER_KILLED,NUMBER_INJURED,PARTY_COUNT,PRIMARY_COLL_FACTOR,PCF_CODE_OF_VIOL,PCF_VIOL_CATEGORY,PCF_VIOLATION,PCF_VIOL_SUBSECTION,HIT_AND_RUN,TYPE_OF_COLLISION,MVIW,PED_ACTION,ROAD_SURFACE,ROAD_COND_1,ROAD_COND_2,LIGHTING,CONTROL_DEVICE,CHP_ROAD_TYPE,PEDESTRIAN_ACCIDENT,BICYCLE_ACCIDENT,MOTORCYCLE_ACCIDENT,TRUCK_ACCIDENT,NOT_PRIVATE_PROPERTY,ALCOHOL_INVOLVED,STWD_VEHTYPE_AT_FAULT,CHP_VEHTYPE_AT_FAULT,COUNT_SEVERE_INJ,COUNT_VISIBLE_INJ,COUNT_COMPLAINT_PAIN,COUNT_PED_KILLED,COUNT_PED_INJURED,COUNT_BICYCLIST_KILLED,COUNT_BICYCLIST_INJURED,COUNT_MC_KILLED,COUNT_MC_INJURED,PRIMARY_RAMP,SECONDARY_RAMP,LATITUDE,LONGITUDE,COUNTY,CITY,POINT_X,POINT_Y
91971679,2023,2023-01-19,9370,2023-01-01,1755,022845,,7,2,6,0103,0,1,1,,2,081,"I-80 W/B","GILMAN ST",77.00,E,N,A,-,Y,ALA,,80," "," ",6.667,H,,L,Y,3,0,1,2,A,-,01,23152,A,N,E,C,A,A,H,-,D,D,0,,,,,Y,Y,A,01,0,1,0,0,0,0,0,0,0,"- ","- ",37.878398895263672,-122.30757141113281,ALAMEDA,BERKELEY,-122.30750274658203,37.878410339355469
91977164,2023,2023-01-25,9370,2023-01-18,1810,022845,,3,2,6,0103,0,1,1,,2,081,"I-80 E/B","GILMAN ST",1421.00,W,N,B,-,Y,ALA,,80," "," ",6.371,H,,R,N,3,0,1,3,A,-,03,22350,,N,C,C,A,A,H,-,D,D,0,,,,,Y,,A,07,0,1,0,0,0,0,0,0,0,"- ","- ",37.874309539794922,-122.30593872070312,ALAMEDA,BERKELEY,-122.30601501464844,37.874294281005859
91981828,2023,2023-01-30,9370,2023-01-21,2125,022826,,6,2,6,0103,0,1,1,,2,081,"I-80 W/B","UNIVERSITY AVE",1586.00,E,N,A,-,Y,ALA,,80," "," ",6.142,H,,L,N,4,0,1,2,A,-,03,22350,,M,C,C,A,A,H,-,C,D,0,,,,,Y,,-,99,0,0,1,0,0,0,0,0,0,"- ","- ",37.871040344238281,-122.30534362792969,ALAMEDA,BERKELEY,-122.30525207519531,37.871055603027344
91983346,2023,2023-01-31,9370,2023-01-23,1320,022845,,1,1,6,0103,0,1,1,,2,081,"I-80 E/B","UNIVERSITY AVE",2230.00,W,N,A,-,Y,ALA,,80," "," ",6.217,H,,R,Y,3,0,1,1,C,-,18,,,N,E,I,A,A,H,-,D,D,0,,,,,Y,,-,"- ",0,1,0,0,0,0,0,0,0,"- ","- ",37.872119903564453,-122.30545806884766,ALAMEDA,BERKELEY,-122.30530548095703,37.872146606445312
91985913,2023,2023-03-01,9370,2023-01-28,1339,022845,,6,1,6,0103,0,1,1,,2,081,"I-80 E/B","BUCHANAN ST",1963.00,W,N,A,-,Y,ALA,,80," ",R,6.905,H,,R,Y,3,0,2,4,A,-,03,22350,,N,C,C,A,A,H,-,A,D,0,,,,,Y,,A,07,0,2,0,0,0,0,0,0,0,"- ","- ",37.881809234619141,-122.30796813964844,ALAMEDA,BERKELEY,-122.30804443359375,37.881801605224609
91987167,2023,2023-02-06,9370,2023-01-21,1800,022964,,6,2,6,0103,0,1,1,,2,081,"I-80 E/B","GILMAN STREET",1755.00,W,N,A,-,Y,ALA,,80," "," ",6.311,H,,R,N,4,0,1,2,A,-,03,22350,,N,C,C,A,A,H,-,C,D,0,,,,,Y,,A,01,0,0,1,0,0,0,0,0,0,"- ","- ",37.873481750488281,-122.30567932128906,ALAMEDA,BERKELEY,-122.30574035644531,37.873466491699219
91989641,2023,2023-02-08,9370,2023-02-02,"835 ",018499,,4,1,6,0103,0,1,1,,2,081,"I-80 W/B","GILMAN ST",1100.00,W,N,B,-,Y,ALA,,80," "," ",6.427,H,,L,Y,3,0,2,2,A,-,03,22350,,N,C,C,A,A,H,-,A,D,0,,,,,Y,,A,01,0,1,1,0,0,0,0,0,0,"- ","- ",37.875080108642578,-122.30638885498047,ALAMEDA,BERKELEY,-122.30650329589844,37.875057220458984
91996035,2023,2023-02-16,9370,2023-02-05,"43  ",022841,,7,3,6,0103,0,1,1,,2,081,"I-80 E/B","UNIVERSITY AVE",66.00,W,N,A,-,Y,ALA,,80," "," ",5.816,H,,R,N,3,0,1,1,A,-,01,23152,A,N,E,8,A,B,H,-,C,D,0,,,,,Y,Y,A,01,0,1,0,0,0,0,0,0,0,"- ","- ",37.866550445556641,-122.30345916748047,ALAMEDA,BERKELEY,-122.30364227294922,37.86651611328125
92010693,2023,2023-03-06,9370,2023-02-14,"800 ",023135,,2,1,6,0103,0,1,1,,2,081,"I-80 W/B","ASHBY AVE",1551.00,E,N,A,-,Y,ALA,,80," "," ",5.075,H,,L,Y,4,0,3,3,A,-,01,23152,F,N,B,C,A,A,H,-,A,D,0,,,,,Y,,A,01,0,0,3,0,0,0,0,0,0,"- ","- ",37.855998992919922,-122.30094909667969,ALAMEDA,BERKELEY,-122.30085754394531,37.856014251708984
92012427,2023,2023-03-08,9370,2023-02-22,"907 ",023135,,3,1,6,0103,0,1,1,,2,081,"I-80 WB","UNIVERSITY AVE",725.00,W,N,A,-,Y,ALA,,80," "," ",5.691,H,,L,N,4,0,2,4,A,-,03,22350,,N,C,C,A,A,H,-,A,D,0,,,,,Y,,A,01,0,0,2,0,0,0,0,0,0,"- ","- ",37.864738464355469,-122.30325317382812,ALAMEDA,BERKELEY,-122.30329895019531,37.864730834960938
